Title,Course Price,Subscribers,Reviews Left,Percent of Reviews,Length of Course
t,i,t,l,e,","
CSS Tutorial For Beginners: Style Your Wordpress Templates,35.0,1049,22,0.02,47
HTML5 And CSS3 - Build Modern Responsive Websites,175.0,109,17,0.16,69
PSD to HTML5/CSS3 using Twitter Bootstrap 3!,95.0,2073,24,0.01,16
Web Development: Make A Website That Will Sell For Thousands,50.0,1116,62,0.06,51
WordPress Basics to Business: Share and Sell your Expertise,50.0,1125,10,0.01,45
PHP Zend Framework 2:Creating a CRUD Application,40.0,802,6,0.01,9
JavaScript Fundamentals,0.0,4409,71,0.02,100
Building a Website With Jekyll,20.0,686,19,0.03,21
Big Data and Apache Hadoop for Developers - Fundamentals,30.0,1154,89,0.08,9
Wordpress Development : Create a Custom Wordpress Website,120.0,885,3,0.0,13
How to Make a Wordpress Website 2017,0.0,2437,137,0.06,10
RESTful Services with ASP.NET Web API,85.0,716,59,0.08,34
Web Hosting Fundamentals,20.0,1867,19,0.01,8
Learning Path: React: Make Stunning React Websites,200.0,91,5,0.05,53
Administering Microsoft SQL Server 2012 Databases - 70-462,60.0,586,65,0.11,98
PHP CodeIgniter:CRUD concepts in MVC,40.0,601,4,0.01,6
Adobe Experience Manager CMS Basics,35.0,81,14,0.17,33
Introduction to Frontend Web Development For  Beginners,145.0,1018,28,0.03,48
PHP: Complete Login and Registration System with PHP & MYSQL,200.0,1448,173,0.12,48
JavaScript Complete Guide to learning JavaScript,200.0,1296,22,0.02,72
Advanced Scalable Python Web Development Using Flask,120.0,1299,56,0.04,71
jQuery for Absolute Beginners - Lite,20.0,1769,49,0.03,7
HTML Complete Course - Beginner to Expert,0.0,20073,615,0.03,28
Cross-Platform Development with ASP.NET Core 1.0 MVC,35.0,601,126,0.21,64
Build a Photo Blog with Ruby on Rails,20.0,2281,32,0.01,21
Practical PHP: Master the Basics and Code Dynamic Websites,0.0,83737,4598,0.05,45
Sass Workflow,0.0,20890,945,0.05,21
Learn PHP Fundamentals From Scratch,0.0,48650,1236,0.03,9
XML For Absolute Beginners: Learn to create your own tags,75.0,1945,58,0.03,10
Joomla: Create a Joomla Website This Weekend With NO CODING!,0.0,18496,386,0.02,30
JavaScript for beginners - A Complete Guide,100.0,1193,87,0.07,58
Laravel Deployment - Launch your Laravel Application Online,0.0,4905,101,0.02,13
WordPress Development Crash Course: From Zero To Hero,60.0,1699,8,0.0,22
Learn how to create a WordPress theme using Pinegrow,0.0,11812,152,0.01,19
Learn to Build Web Apps using Laravel Framework,30.0,746,93,0.12,39
Flexbox: The complete guide,35.0,189,7,0.04,16
How to Safely Copy and Move Your WordPress Website,60.0,1419,38,0.03,20
AngularJs :basics for beginners,45.0,1237,16,0.01,14
JSON For Beginners: A Very Basic Introduction,65.0,1703,27,0.02,8
Learn SASS and improve your CSS,55.0,1849,29,0.02,24
Angular Tutorial For Beginners,0.0,5397,112,0.02,36
HTML and CSS for Absolute Beginners,0.0,4410,52,0.01,26
"JavaScript, jQuery and Ajax",20.0,1554,30,0.02,60
Laravel Blog Development Starter,0.0,4499,138,0.03,20
React: Learn ReactJS Fundamentals for Front-End Developers,55.0,1993,55,0.03,26
JavaScript For Absolute Beginners - Level Two,30.0,424,85,0.2,9
How To Create A Real Estate Website With Wordpress 2017,0.0,3782,32,0.01,11
The Complete HTML5 and CSS3 Course - with 8 Websites Design,30.0,1551,42,0.03,78
Introduction to Modern Programming with PHP,20.0,954,183,0.19,123
HTML Introduction Course: Learn HTML in 2 hours!!!,0.0,7304,368,0.05,28
Learn HTML & CSS: How To Start Your Web Development Career,0.0,15462,689,0.04,60
React vs Angular vs Vue.js by Example,0.0,6958,132,0.02,30
Create WordPress Plugins,50.0,964,19,0.02,21
Build and Deploy a LAMP server on AWS,0.0,3571,18,0.01,8
Build your own Beautiful Blog in WordPress + SEO,200.0,2421,6,0.0,28
AngularJS Authentication: Secure Your App with Auth0,0.0,21689,1080,0.05,13
Learn Bootstrap 4 by Example,0.0,5542,54,0.01,9
Complete WooCommerce Plugin Tutorial For Wordpress 2017,0.0,7922,183,0.02,16
How To Build And Make A Wordpress Website From Scratch 2017,0.0,7055,166,0.02,24
Docker for Developers - Newest Version 1.12 with Swarm Mode,95.0,767,104,0.14,81
Angular Material - Quickstart,0.0,3766,135,0.04,14
HTML and CSS for Beginners - Build a Website & Launch ONLINE,0.0,70773,5660,0.08,50
"Core: A Web App Reference Guide for Django, Python, and More",195.0,2497,98,0.04,154
"JSON with Java APIs, jQuery and JSON REST Web Services",95.0,799,87,0.11,41
Bootstrap 4 Quick Start: Code Modern Responsive Websites,0.0,41478,2104,0.05,13
Learn Symfony 3 framework by practical examples,125.0,867,177,0.2,48
"Complete Web Development with HTML, CSS and Javascript",0.0,2097,16,0.01,10
Web Hosting Introduction: How to Publish Your Website Online,0.0,5533,137,0.02,11
Django For Beginners,175.0,534,16,0.03,51
Introduction to QGIS Python Programming,85.0,197,26,0.13,28
Learning Object-Oriented JavaScript,75.0,533,54,0.1,23
Bootstrap Tutorial for Beginners,20.0,1036,27,0.03,20
Learn Bootstrap3 With Multi Purposes Single Page Layout,0.0,4503,146,0.03,122
HTML for Beginners,0.0,8592,336,0.04,35
How to Build WordPress Themes: A Web Designer's Guide,165.0,183,30,0.16,47
XML DTD :basics for beginners,35.0,903,3,0.0,7
Learn to make an HTML 5 website with a video background,80.0,1236,18,0.01,14
Learn Authentication With ASP.NET Identity Security 2017,50.0,305,45,0.15,13
HTML and CSS Foundations,0.0,1544,15,0.01,29
Python Web Programming,100.0,1020,46,0.05,60
Build a Complete Registration and Login System using PHP MVC,80.0,325,50,0.15,106
ES6 / EcmaScript 6 for beginners an introduction,0.0,3227,19,0.01,21
React for visual learners,20.0,659,64,0.1,26
Learn to Create Advance Responsive Websites With Bootstrap,20.0,2528,15,0.01,30
Master the Art of Web Design with HTML & CSS,145.0,550,15,0.03,59
Sell Courses On Your Own Website - No Coding Required!,100.0,1032,9,0.01,21
Implementing a Data Warehouse with SQL Server 2012,85.0,1142,148,0.13,90
Learning 200 jQuery Functions with 800 Examples,195.0,1766,38,0.02,118
Create Complete Web Applications easily with APEX 5,30.0,912,128,0.14,81
"Learn Gulp, The Streaming Build System",25.0,1305,38,0.03,16
Perfect React JS Course - Understand Relevant Details,200.0,653,20,0.03,25
Create a classified website in 2 hours - guaranteed,50.0,3411,84,0.02,22
Learn HTML And CSS From Scratch,0.0,11533,240,0.02,18
Become a Certified Web Developer - Beginner to Expert,200.0,3397,12,0.0,85
Complete Bootstrap 4 course - build 3 projects,0.0,7865,241,0.03,36
Up and Running with Phalcon,20.0,715,12,0.02,12
HTML : HTML Awesomeness,25.0,988,23,0.02,27
Build CRUD Application - PHP & Mysql,0.0,4405,71,0.02,12
All You Need To Know About AngularJS - Training On AngularJS,50.0,1936,88,0.05,53
PSD To a Creative Landing Page Using Twitter Bootstrap 3,0.0,11666,546,0.05,20
Ready for Production with Spring Boot Actuator,55.0,361,26,0.07,49
AngularJS For Beginners,0.0,30531,1948,0.06,53
Learning Path: Akka: Building Applications and Microservices,200.0,88,8,0.09,55
Set up a localhost Web Server for Faster Website Development,30.0,55,13,0.24,31
Mastering Meteor: Reactive Full Stack JavaScript,95.0,494,46,0.09,37
Build A Professional Wordpress Website In An Hour,20.0,1294,11,0.01,15
Build a file hosting/sharing site in less than 2 hours,20.0,976,29,0.03,13
Introduction to Java Programming for Online Learners,200.0,1586,87,0.05,124
Create full featured Landing Page in Ruby on Rails in 3 hour,30.0,1550,15,0.01,23
How to create a  video blog with WordPress,25.0,1209,8,0.01,62
PHP For WordPress Development,35.0,850,12,0.01,16
Create a Professional Website Without Programming/Coding,0.0,5421,93,0.02,20
How to Build an Autocomplete System Like Google,30.0,255,5,0.02,9
Master EmberJS : Learn Ember JS From Scratch,120.0,707,59,0.08,103
How To Make A Modern Wordpress BLOG 2017! Create Your Blog!,0.0,6856,137,0.02,19
Learn Top Ten PHP FrameWorks By Building Projects,60.0,1007,96,0.1,87
How to Make a Video Blog Website From Scratch w/ Wordpress,0.0,12952,163,0.01,22
Build Websites And Apps By Outsourcing,20.0,2299,11,0.0,22
Learning Path: Web Applications with Spring and Angular,200.0,19,2,0.11,33
Learn Ruby on Rails By Building Projects,60.0,1736,79,0.05,47
Canvas image Creator HTML5 JavaScript project from Scratch,100.0,2195,10,0.0,35
Javascript Essentials,0.0,47062,5590,0.12,41
Devtools 2017: The Basics of Chrome Developer Tools,0.0,4569,108,0.02,18
Chrome Extensions : Develop 5 chrome extensions from scratch,0.0,3655,85,0.02,44
Learn how to quickly build websites using Wordpress,0.0,15715,406,0.03,28
Advance Unix : File Processing: AWK | SED | GREP | CUT | VIM,75.0,578,40,0.07,84
Develop a Professional OnePage WordPress site With No Coding,20.0,1747,13,0.01,13
PHP Specialist (2017 Edition),100.0,197,11,0.06,53
Python Programming: Create an Digital Marketplace in Django,195.0,4198,145,0.03,161
Create Ajax Chat App with PHP & Mysql,45.0,540,11,0.02,19
Mastering Thymeleaf with Spring,75.0,942,161,0.17,64
Learn Rails Programming in Less than 2 Hours,35.0,2470,24,0.01,19
Wordpress Backup & Restore,95.0,478,37,0.08,18
Learn JavaScript Dynamic Interactive Projects for Beginners,100.0,2558,12,0.0,36
Build Modern Websites Super Fast,25.0,2178,22,0.01,19
SAP - Learn SAPUI5 Professional Development,195.0,860,201,0.23,56
Wordpress Security,95.0,2888,26,0.01,24
Learn HTML5 At Your Own Pace. Ideal for Beginners,50.0,3026,60,0.02,67
Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,20.0,2164,290,0.13,70
Build Real World Websites from Scratch using HTML5 and CSS3,195.0,10874,114,0.01,59
How to become an App Developer,200.0,1935,17,0.01,10
"Modern JavaScript: Building Real-World, Real-Time Apps",50.0,1871,154,0.08,60
JavaScript Introduction to Object Oriented JavaScript,90.0,7789,59,0.01,23
Core HTML How to get online quickly HTML to HTML5,90.0,10394,33,0.0,34
Building Websites JavaScript and the DOM,120.0,17759,64,0.0,37
Complete Login and Registration System in PHP and MYSQL,200.0,4714,149,0.03,28
The Complete E-Commerce Web Developer Course 5.0,195.0,3209,58,0.02,96
HTML5 canvas Bootcamp for beginners 25 easy steps,120.0,14118,30,0.0,27
Advanced HTML5 Tutorial for Web Developers,50.0,11847,57,0.0,57
Learn the Basics of Programming for Marketers,55.0,11339,43,0.0,26
Css For Beginners,85.0,1156,13,0.01,28
GRUNT js: Automate web development tasks and save your time,55.0,1534,33,0.02,18
Mastering Web and Mobile Debugging Using Chrome Dev Tools,195.0,1102,12,0.01,21
HTML : Beginner Guide to HTML writing,20.0,783,20,0.03,13
Build Web Apps Using EmberJS: The Complete Course,40.0,627,126,0.2,31
SharePoint 2013 Development using C# - Part I,50.0,891,101,0.11,119
SAP Crystal Reports with ASP.Net (Step by step),0.0,7484,304,0.04,5
Building Responsive Data Visualizations with D3 JS,85.0,876,59,0.07,28
Learn Rails Programming in Less than 30 Minute - Lite,20.0,1235,25,0.02,7
SASS - Beginner Crash Course,25.0,1143,34,0.03,13
Angular 2 Fundamentals for Web Developers,40.0,450,61,0.14,41
Easily Learn Web Development With Drop & Drag: OptimizePress,20.0,1442,9,0.01,25
XML XSLT - Crash Course for Beginners,45.0,426,4,0.01,9
Create Your Own Successful Online School To Sell Courses,95.0,2814,14,0.0,39
Flask Tutorial Step by Step,0.0,4645,171,0.04,19
Ruby on Rails a Beginners Guide,0.0,13130,346,0.03,88
Mastering Basic CSS Selectors.,0.0,3933,23,0.01,14
Create a Website Similar to Facebook from Scratch!,25.0,2197,9,0.0,12
Comprehensive TypeScript,125.0,1318,78,0.06,51
"Essential HTML, CSS & HTML5 Training",50.0,1553,35,0.02,43
HTML 5 and CSS 3 - tricks and workarounds,80.0,2007,10,0.0,113
"How to Register a Domain, Set Up Hosting, and Edit Web Pages",45.0,1540,19,0.01,39
WordPress Plugins Treasure Chest,25.0,1655,10,0.01,44
Practical Understanding of PHP and MySQL,0.0,12201,217,0.02,24
"AngularJS for Beginners, Single-Page Applications Made Easy",200.0,1284,46,0.04,30
Building a Social Network in PHP & MySQL From Scratch,50.0,869,125,0.14,78
XML DOM - Crash Course for Beginners,45.0,396,6,0.02,8
Create a Powerful Website with the Cool Bootstrap Framework,0.0,7142,41,0.01,25
HTML5 and CSS3 -Start building beautiful websites,150.0,1414,14,0.01,22
Getting Started as a Web Developer,0.0,9833,241,0.02,15
Learn Laravel: Create Your Web App Step-By-Step,45.0,604,47,0.08,35
Professional Web Scraping with Java,50.0,685,37,0.05,14
3D Programming with WebGL and Babylon.js for Beginners,200.0,549,49,0.09,18
Learn to make a colorful one page website,200.0,1220,16,0.01,16
WordPress Plugin Tutorial,40.0,1588,8,0.01,15
Introduction to HTML,0.0,8371,212,0.03,18
Learn JavaScript From Scratch:Become Top Rated Web Developer,65.0,2570,17,0.01,87
"Installing Wordpress 4 - Installation, Registrars & Hosting",45.0,6117,188,0.03,28
Learn PHP Programming for Absolute Beginners,35.0,5368,78,0.01,20
WordPress for Beginners 2017 + Google AdSense Implementation,195.0,2225,14,0.01,64
JavaScript for beginners in 1 hour,95.0,2086,56,0.03,22
HTML5 and CSS for Beginner To Expert,20.0,1732,15,0.01,48
Become a Kick-Ass Web Developer: From Newbie to Pro,200.0,6751,44,0.01,353
Django Tutorial: Build Your First App Fast & Free!,20.0,5228,180,0.03,27
Create a social network using PHP Mysqli HTML Css and JQuery,40.0,1477,17,0.01,27
PHP - Send and Receive Mobile Text Messages (SMS),50.0,1626,81,0.05,18
Complete PHP Course with OOP Start to Finish!,200.0,4529,54,0.01,29
Coding Made Easy: HTML & CSS For Beginners,40.0,3254,92,0.03,16
WordPress Security - The Ultimate Security Guide,60.0,2267,17,0.01,29
How to Make a Single Page Website for Freelancers & Agencies,0.0,17463,283,0.02,30
Learn to Use jQuery UI Widgets,0.0,23669,521,0.02,9
Learn to Create Responsive Layouts in 30 Minutes,0.0,5301,174,0.03,6
Web Building Starter Pack. Html Css and JQuery Animations,30.0,1033,16,0.02,42
Getting Started with Angular 2+,0.0,6909,401,0.06,14
Intro to PHP Web Application Development with Symfony,200.0,4040,72,0.02,20
Learn OAuth 2.0 - Theory and Hands On,145.0,546,69,0.13,21
Learning CSS3 - A Comprehensive Tutorial For Web Developers,50.0,2459,107,0.04,101
Professional WordPress Theme Development from Scratch,200.0,1284,173,0.13,301
PHP Zend Framework 1.11:Creating a CRUD Application,40.0,1122,5,0.0,7
Write quicker HTML5 and CSS 3; productivity hacks with emmet,0.0,13016,286,0.02,15
The Ultimate jQuery Course,20.0,1098,15,0.01,54
Build an Advanced Single Page with Bootstrap & WordPress,95.0,481,75,0.16,77
Master all PHP ideas 2017 to build any project,50.0,376,19,0.05,49
A Beginner's Guide to the Meteor JavaScript Framework,50.0,898,132,0.15,40
Create an E-commerce website without any coding,20.0,1393,40,0.03,9
Learn To Build Apps Using Play Framework,40.0,434,69,0.16,23
Introducing Ionic 2,50.0,394,78,0.2,22
Learn Laravel with Database Migration & Seeding & Faker,20.0,263,14,0.05,7
Create a Client Network by Hosting WordPress Sites,35.0,1061,8,0.01,17
Introduction to PHP Slim Microframework,20.0,1312,19,0.01,11
ASP :basics for beginners,35.0,764,7,0.01,8
"WordPress Development With NodeJS, Gulp, Composer & More",25.0,289,30,0.1,30
Become PHP Facebook Developer: Password-Less Authentication,195.0,4001,8,0.0,37
How To Create Your Very First Website With HTML and CSS,100.0,5097,196,0.04,37
Learn JSON for beginners with JavaScript,200.0,3193,10,0.0,23
Ultimate guide to Social Media Web development integration,200.0,11011,13,0.0,36
A Complete Laravel basics from beginner to expert,25.0,3492,61,0.02,12
JQuery Basics - Learn JQuery From Scratch,100.0,3559,24,0.01,18
Learn MeteorJS By Building 10 Real World Projects,50.0,2784,221,0.08,79
JavaScript Basics for Beginners Introduction to coding,150.0,5495,52,0.01,18
AngularJS Masterclass - Deep Dive & Understand AngularJS,100.0,2912,309,0.11,85
HTML5 for beginners,195.0,9687,59,0.01,59
All in one HTML CSS and JQuery,20.0,3444,35,0.01,16
Responsive Design with NEW Materialize,75.0,12629,88,0.01,36
Create a Responsive Business Website with WordPress,95.0,1659,73,0.04,38
PHP webservices,30.0,1305,25,0.02,8
JavaScript Promises: Applications in ES6 and AngularJS,75.0,651,52,0.08,20
Learn to build 20 websites and build 14 iOS9 apps with swift,40.0,1926,9,0.0,458
Professional CSS Flexbox,35.0,396,130,0.33,21
XML :basics for beginners,40.0,1062,12,0.01,11
How to create Paypal and Credit card Payment Buttons,65.0,578,6,0.01,8
Customizr - Learn WordPress with the ultimate creative theme,0.0,4735,81,0.02,69
How To Create a Local Wordpress Environment,0.0,4306,163,0.04,12
Fun and creative web engineering with Python and Web2py,0.0,10917,319,0.03,25
WordPress for Beginners - Build Your First Website in 2017,100.0,1701,125,0.07,88
Learn to Make an Animated Image Gallery using HTML5,0.0,11080,165,0.01,7
Projects in Foundation Framework - Learn By Building 10 Apps,50.0,636,33,0.05,54
Drupal for Beginners,30.0,1478,18,0.01,83
Laravel : CRUD Application Using AJAX In Laravel 5.3,20.0,362,19,0.05,8
Foundations of Front-End Web Development,0.0,8337,300,0.04,129
Angular 2 - Superheroic Framework,20.0,702,21,0.03,30
Social Network Web Development,200.0,2698,29,0.01,57
For Free - Deploy Quickly Spring Boot on Heroku With MySQL,95.0,177,19,0.11,10
Building Web Applications with Spring MVC,85.0,714,48,0.07,28
"HTML5, CSS3 & Bootstrap - How to Create a Responsive Website",20.0,1062,20,0.02,32
HTML & CSS - Learn to build sleek websites,55.0,1552,14,0.01,44
Master Angular 2 - The No Nonsense Course,25.0,102,27,0.26,36
Master ASP . NET 4 from scratch,50.0,613,135,0.22,116
CoffeeScript: The Good Parts—Write Better javaScript,50.0,2152,19,0.01,15
Mastering Magento,85.0,1063,101,0.1,40
Ultimate JavaScript Strings,0.0,3142,117,0.04,20
Your Own Site in 45 Min: The Complete Wordpress Course,120.0,1566,29,0.02,36
Redirect Your Visitors By Country Easily -Wordpress Tutorial,20.0,2306,3,0.0,24
Learn Knockout JS Framework from GroundUp,40.0,633,104,0.16,31
Build Responsive Websites  in an Hour using Portalfin,0.0,2859,42,0.01,17
Master Riot: Learn Riot.js from Scratch,125.0,299,75,0.25,34
Learn W3.CSS,50.0,1002,7,0.01,10
Learning Axure RP,75.0,631,103,0.16,65
"Complete guide to install Wordpress, PHP on Cloud,AWS or VPS",50.0,1386,17,0.01,28
"Kids Coding -Introduction to HTML, CSS and JavaScript",200.0,2355,143,0.06,215
Introduction to Voice Design with Amazon's Alexa,0.0,6742,1036,0.15,6
How to Create a Social Network For a Niche-Related Community,100.0,1853,34,0.02,39
Webpack 1 & 2 - The Complete Guide,40.0,252,46,0.18,79
Star Rating Project AJAX with JSON response from PHP MySQL,120.0,1302,18,0.01,22
Wordpress for beginners :Build Websites Fast without Coding,50.0,1658,72,0.04,68
ASP.Net MVC Quick Start,0.0,15092,1234,0.08,65
Build a Chatbot integrated Website using Bootstrap 4,50.0,165,13,0.08,28
How To Create A WordPress Website Without Paying A Developer,20.0,4333,16,0.0,17
PSD to Bootstrap 3 for Beginners using HTML & CSS,20.0,976,93,0.1,46
Build Advanced Responsive Websites with Foundation 6 & SASS,200.0,1276,245,0.19,271
Learn Essential Javascript Fundamentals - Lite,20.0,1476,27,0.02,8
Learn HTML in 2 hours!,0.0,5351,235,0.04,13
Laravel 4 try and enjoy php coding,20.0,2402,26,0.01,23
Wordpress Beginner Tutorial: Build Your First Website,0.0,6402,104,0.02,23
Build Complex Express Sites with Redis and Socket IO,125.0,223,26,0.12,27
Building a ASP.NET MVC 5 Membership Website,95.0,654,86,0.13,239
Drupal Views: Introduction to Enhancing Your Drupal Website,105.0,1262,36,0.03,40
Bootstrap Bootcamp - Responsive web development- 8 projects,100.0,253,34,0.13,45
Self Advertise Using PowerPoint Twitter and Facebook on ios,20.0,1780,15,0.01,6
Learning Bootstrap 3 - Tutorial From Infinite Skills,50.0,1266,90,0.07,50
Practical Web Development: Make Websites Quickly And Easily,20.0,2389,7,0.0,20
"Learn animation using CSS3, Javascript and HTML5",40.0,1468,54,0.04,18
Creating Interactive HTML5 Video,25.0,838,13,0.02,23
Optimizing Wordpress for More Speed and Revenue,0.0,2649,16,0.01,7
JavaScript project Learn to create a memory Game and more,95.0,6000,21,0.0,25
The Complete JavaScript Bootcamp,195.0,1839,91,0.05,47
JavaScript for Absolute Beginners,20.0,10689,394,0.04,17
Complete JavaScript Course for Beginners with Easy Examples,200.0,7449,91,0.01,32
Angular 2 Master Class with Alejandro Rangel,30.0,4157,206,0.05,80
Quick learning jQuery web development,150.0,3388,67,0.02,39
Google Blogger Course,60.0,1343,11,0.01,22
"Ajax in JavaScript and JQuery, with PHP - Creating Chat App",200.0,3399,85,0.03,15
PHP Tutorial: Learn PHP Basic Programming for Beginners,20.0,2510,21,0.01,23
Mastering Modern Web Development Using React,195.0,1537,8,0.01,29
"Full Stack JavaScript: Learn Backbone.js, Node.js & MongoDB",50.0,6134,93,0.02,15
The Essential Web Developer Course - Build 12 Websites,200.0,9355,390,0.04,177
Build Powerful Websites & Blogs using WordPress - No Coding,20.0,1024,14,0.01,26
Learn to Build Web Apps using UnderscoreJS : Code Like a Pro,40.0,325,37,0.11,27
Building Web Apps Using Flask and Neo4j,50.0,166,21,0.13,37
Learn Web Animation the Easy Way: An Intro to SVG and GSAP,50.0,203,33,0.16,15
Build Your Own Membership Website With Joomla,95.0,1134,9,0.01,24
Learn Spring Security 4 Basics - Hands On,95.0,216,28,0.13,16
Display and analyze GIS data on the web with Leaflet.js,100.0,25,4,0.16,66
How to Build a CMS with PHP,50.0,1096,33,0.03,10
Responsive Web Design with HTML5 and CSS3 - Introduction,35.0,770,65,0.08,84
Master Typescript : Learn Typescript from scratch,95.0,424,45,0.11,60
XSD :basics for beginners,35.0,755,0,0.0,7
Angularjs-WebApi2-EFCodeFirst Web App On 3-Tier Architecture,60.0,652,48,0.07,46
Css Positioning For Absolute Beginners: A Basic Introduction,65.0,4797,97,0.02,11
Creating User Authentication System in CodeIgniter,200.0,2783,9,0.0,21
How to easily Manage your WordPress Website,20.0,8462,50,0.01,21
Wordpress For Beginners: Create a Professional Website,200.0,5129,183,0.04,35
"Building a Portfolio in 90 minutes ( HTML, CSS, Js )",20.0,5272,111,0.02,24
Automate Web Development With Gulp JS,20.0,2784,425,0.15,29
Bootstrap 4 Responsive Web Design and Development,20.0,3086,17,0.01,73
Intro To HTML & CSS: Web Development For Beginners,20.0,6008,203,0.03,35
Become Exceptional in HTML and HTML5,20.0,16486,86,0.01,34
Become a Rockstar Web Developer - Learn By Coding,200.0,2076,125,0.06,56
Spring 4 Mastercourse: Covers Annotation & XML Configuration,200.0,1353,53,0.04,320
WordPress Plugin Development for 2017 - Build 14 Plugins,50.0,3770,108,0.03,72
Single Page Application of MVC 5 Using AngularJS,20.0,722,53,0.07,18
"Learn to Code in HTML5, CSS3, and JavaScript",20.0,1404,7,0.0,17
Web Application Development - Learn by Building 3 Web Apps,30.0,1688,16,0.01,29
Rails Ecommerce App with HTML Template from Themeforest,25.0,214,34,0.16,24
Writing CSS with {LESS} - Tutorial From Infinite Skills,50.0,788,21,0.03,25
Login and Registration from Scratch with PHP and MySQL,20.0,1128,77,0.07,36
Getting Started with Magento,85.0,608,88,0.14,48
Ruby on Rails Foundations,20.0,359,45,0.13,73
Core Concepts in HTML 5,75.0,1532,19,0.01,23
Learn Azure Cloud Step by Step,20.0,791,29,0.04,24
Learn Facebook Flux Architecture for Web Applications,40.0,395,26,0.07,36
"Create free, fast and secure static website",50.0,322,9,0.03,9
Object Orientation in PHP,20.0,151,40,0.26,30
Creating Custom Web Maps,50.0,208,48,0.23,29
Build A YouTube Downloader With C# And GitHub,20.0,385,39,0.1,32
Querying Microsoft SQL Server 2012 - (Exam No. 70-461),85.0,666,89,0.13,115
HTTP Clients with Laravel: Use and Consume Services and APIs,65.0,237,22,0.09,52
Modern E-Commerce Store In php & mysqli With Bootstrap,50.0,240,45,0.19,358
Simple And Easy: Wordpress For Beginners,0.0,5014,196,0.04,32
Create Website from scratch in Urdu & Hindi,0.0,3033,91,0.03,9
Advance Unix : File Processing: AWK | GREP | VIM,20.0,458,2,0.0,12
Introduction to Node.js Development,55.0,1779,48,0.03,16
Advance JavaScript for Coders: Learn OOP in JavaScript,40.0,334,41,0.12,54
Web Development With Google Maps,50.0,222,9,0.04,60
jQuery UI Ultimate:Design Amazing Interfaces Using jQuery UI,145.0,422,86,0.2,69
Learn Spring Security 4 Intermediate - Hands On,95.0,227,16,0.07,20
Learning Path: The Road to Elasticsearch,200.0,50,5,0.1,60
HTML/CSS Bootcamp,40.0,194,26,0.13,87
JavaScript High Performance,95.0,458,28,0.06,40
Node:js : Building Rest Apis with Sails.js,100.0,61,9,0.15,44
Fundamentals of Angular 2 Full Stack Design,95.0,314,43,0.14,49
Create Newsletter Subscription Form with PHP/AJAX in 40 Min,50.0,586,10,0.02,17
AppML :basics for beginners,30.0,770,0,0.0,8
How to manage your own VPS and create websites,120.0,735,16,0.02,30
Learn BuddyPress: Build A Social Network with WordPress,20.0,1299,15,0.01,23
HTML FOR BEGINNERS,20.0,791,8,0.01,16
XML XQuery - Crash Course for Beginners,45.0,426,4,0.01,10
Simplified Cross Browser Web Testing Using VirtualBox,20.0,796,3,0.0,18
JavaScript and jQuery Basics: Start The Journey,25.0,1316,22,0.02,45
How to Install WordPress From Scratch,0.0,8415,56,0.01,13
CSS :basics for beginners,30.0,1085,8,0.01,13
"WordPress Development - Themes, Plugins & Single Page Apps",150.0,817,164,0.2,131
Learn Effective HTML in No Time!,40.0,1275,11,0.01,18
HTML5 Geolocation in Depth:Build 7 HTML5 Geolocation Apps,90.0,1526,72,0.05,86
Building a Search Engine in PHP & MySQL,0.0,10110,379,0.04,12
create a search engine for your website!,20.0,1832,6,0.0,12
Learn basics of HTML in 30 Minutes,20.0,945,17,0.02,11
JavaScript from Scratch for Very Beginners,30.0,1272,31,0.02,29
Learn Web Development by Creating a Social Network,200.0,442,48,0.11,80
CSS Image filters - The modern web images color manipulation,0.0,6315,53,0.01,16
Building Responsive Websites with Bootstrap 3 Framework,75.0,1322,14,0.01,27
Create a Membership Site with Wishlist Member & Wordpress,95.0,557,39,0.07,28
Convert HTML Websites into PHP: Learn by Doing in 40 Minutes,50.0,540,13,0.02,15
17 Complete JavaScript   projects explained step by step,185.0,327,26,0.08,106
Mastering Unix : AWK Commands,20.0,358,0,0.0,23
Cakephp:Creating a CRUD application,40.0,803,2,0.0,7
HTML and CSS: A Guide to Web Design,25.0,1557,13,0.01,74
Drupal 8 Site Building,0.0,1942,23,0.01,48
Learn Bootstrap 4 The Most Popular HTML5 CSS3 & JS Framework,200.0,279,37,0.13,119
Essentials of Spring 5.0 for Developers,125.0,34,2,0.06,21
The Extreme Web Development Course - For Beginners,200.0,1420,62,0.04,152
JQuery DOM and Ajax Concept Explained for Beginners,35.0,1812,112,0.06,7
HTML Forms For Beginners: A Basic Introduction,45.0,2472,41,0.02,8
Ultimate JavaScript Objects,20.0,1525,43,0.03,65
The Complete Web Developer Course - Build 20 Websites,20.0,2650,61,0.02,304
"Simple Javascript: Learn by Doing, Beginners Welcome!",25.0,2753,10,0.0,18
"Learn HTML, CSS, and Ruby on Rails: Build Your First Blog",20.0,2985,40,0.01,27
Learn HTML5 Canvas for beginners,100.0,2360,12,0.01,49
Bootstrap 4 Beginners: Code a Responsive Landing Page,30.0,948,193,0.2,48
Build Wordpress CMS Clone with Laravel 5,150.0,392,81,0.21,63
XML DTD - Crash Course for Beginners,45.0,944,1,0.0,10
Beginner Photoshop to HTML5 and CSS3,0.0,73110,1716,0.02,22
XPATH :basics for beginners,40.0,878,6,0.01,8
